x,y,set,path,overlap
2.2058603553870633,-0.5100477977726743,A,1,A&B
2.198900477506089,-0.2907970269064694,A,2,A&B
2.1780488688349475,-0.07242910151134935,A,3,A&C
2.1433894914423113,0.1441766878487184,A,4,A&C
2.09506190640813,0.3581481461096443,A,5,A&C
2.0332607118604167,0.5686236857289046,A,6,A&C
1.9582347593972673,0.7747557959944829,A,7,A&C
1.8702861520493097,0.975714455651383,A,8,A&C
1.76976902781742,1.1706904751042737,A,9,A&C
1.6570881336839887,1.3588987547383893,A,10,A&C
1.5326971958396705,1.539581446238583,A,11,A&C
1.3970970926881585,1.712011004177013,A,12,A&C
1.250833837985632,1.8754931155818002,A,13,A&C
1.0944963822360751,2.0293694956903092,A,14,A&C
0.928714241195459,2.1730205386295527,A,15,A&C
0.754154961033981,2.3058678123503555,A,16,A&C
0.571521430363241,2.42737638776906,A,17,A&C
0.3815490499518841,2.5370569927381514,A,18,A&C
0.18500277152625832,2.6344679821725037,A,19,A&C
-0.017325982420200114,2.7192171163982675,A,20,A&C
-0.22462250540602247,2.790963140563594,A,21,A&C
-0.4360520874971604,2.8494171587514816,A,22,A&C
-0.6507633763892865,2.8943437972616697,A,23,A&C
-0.8678918055030438,2.925562152377454,A,24,A&C
1.532697195839671,-2.5596770417839307,A,90,A&B
1.6570881336839887,-2.3789943502837376,A,91,A&B
1.76976902781742,-2.1907860706496227,A,92,A&B
1.8702861520493093,-1.9958100511967325,A,93,A&B
1.9582347593972678,-1.79485139153983,A,94,A&B
2.0332607118604167,-1.588719281274253,A,95,A&B
2.09506190640813,-1.3782437416549933,A,96,A&B
2.1433894914423117,-1.1642722833940653,A,97,A&B
2.1780488688349475,-0.9476664940339985,A,98,A&B
2.198900477506089,-0.7292985686388792,A,99,A&B
2.2058603553870633,-0.5100477977726752,A,100,A&B
2.955137987544467,1.3372025417328206,B,17,B&C
2.835670548711888,1.4061770997022054,B,18,B&C
2.712068999661757,1.467435696329096,B,19,B&C
2.584831040207702,1.5207316648657159,B,20,B&C
2.4544690127045996,1.565850401257248,B,21,B&C
2.32150783902674,1.602610228276621,B,22,B&C
2.1864829068927065,1.630863127074579,B,23,B&C
2.0499379140479936,1.6504953331993475,B,24,B&C
1.9124226789860823,1.6614277946859275,B,25,B&C
1.7744909270234228,1.6636164903704556,B,26,B&C
1.6366980606430157,1.6570526071478975,B,27,B&C
1.4995989230846414,1.6417625754593081,B,28,B&C
1.363745564186961,1.6178079628657769,B,29,B&C
1.2296850174776592,1.5852852261375858,B,30,B&C
1.0979570974624997,1.5443253228568428,B,31,B&C
0.9690922259828348,1.4950931840975161,B,32,B&C
0.8436092963940601,1.4377870503062133,B,33,B&C
0.7220135841652107,1.3726376730578689,B,34,B&C
0.6047947123129847,1.299907385900596,B,35,B&C
0.4924246798626588,1.219889048031074,B,36,B&C
0.3853559612746096,1.132904865053931,B,37,B&C
0.28401968448935233,1.0393050915734896,B,38,B&C
0.18882389492749518,0.9394666208420999,B,39,B&C
0.100151912434842,0.8337914671440292,B,40,B&C
0.018360787788667787,0.7227051470258348,B,41,B&C
-0.05622013501974599,0.6066549658914062,B,42,B&C
-0.12329054493712066,0.48610821686098526,B,43,B&C
-0.18258037309480324,0.3615502991466918,B,44,B&C
-0.2338508802807775,0.2334827635212221,B,45,B&C
-0.27689561825821185,0.10242129274989953,B,46,B&C
-0.3115412610596433,-0.031106374881807508,B,47,B&C
-0.3376483029094737,-0.16656257058410612,B,48,A&B
-0.3551116199644926,-0.30340186006532255,B,49,A&B
-0.3638608936104868,-0.44107323980328944,B,50,A&B
-0.3638608936104868,-0.5790223557420595,B,51,A&B
-0.3551116199644926,-0.7166937354800265,B,52,A&B
-0.3376483029094737,-0.853533024961243,B,53,A&B
-0.3115412610596433,-0.9889892206635404,B,54,A&B
-0.27689561825821185,-1.1225168882952485,B,55,A&B
-0.2338508802807775,-1.2535783590665701,B,56,A&B
-0.18258037309480324,-1.3816458946920407,B,57,A&B
-0.12329054493712088,-1.5062038124063333,B,58,A&B
-0.056220135019745765,-1.626750561436755,B,59,A&B
0.018360787788667565,-1.742800742571183,B,60,A&B
0.10015191243484223,-1.8538870626893782,B,61,A&B
0.18882389492749496,-1.959562216387448,B,62,A&B
0.28401968448935255,-2.0594006871188384,B,63,A&B
0.38535596127460914,-2.153000460599279,B,64,A&B
0.49242467986265925,-2.239984643576423,B,65,A&B
0.6047947123129842,-2.3200029814459446,B,66,A&B
0.722013584165212,-2.392733268603218,B,67,A&B
0.8436092963940605,-2.457882645851562,B,68,A&B
0.9690922259828348,-2.5151887796428647,B,69,A&B
1.0979570974624993,-2.564420918402191,B,70,A&B
1.2296850174776601,-2.605380821682935,B,71,A&B
1.3637455641869614,-2.6379035584111254,B,72,A&B
-0.8895953373257657,2.8981048286364626,C,41,A&C
-0.964176261608529,2.782054645207902,C,42,A&C
-1.031246672851782,2.6615078937944574,C,43,A&C
-1.090536502181533,2.5369499736178467,C,44,A&C
-1.1418070103810458,2.4088824354606793,C,45,A&C
-1.1848517492094084,2.277820962098474,C,46,A&C
-1.2194973926957307,2.1442932918271316,C,47,A&C
-1.245604435061657,2.008837093447073,C,48,A&C
-1.2630677524618985,1.8719978012607554,C,49,A&C
-1.2718170262808526,1.734326418801238,C,50,A&C
-1.2718170262808526,1.5963773001354271,C,51,A&C
-1.2630677524618985,1.4587059176759096,C,52,A&C
-1.245604435061657,1.3218666254895919,C,53,A&C
-1.2194973926957307,1.1864104271095346,C,54,A&C
-1.1848517492094084,1.052882756838191,C,55,A&C
-1.1418070103810463,0.9218212834759865,C,56,A&C
-1.090536502181533,0.7937537453188187,C,57,A&C
-1.0312466728517822,0.6691958251422084,C,58,A&C
-0.9641762616085288,0.5486490737287637,C,59,A&C
-0.8895953373257659,0.43259889030020315,C,60,A&C
-0.8078042110627071,0.3215125679860029,C,61,A&C
-0.7191322268171463,0.21583741219889863,C,62,A&C
-0.6239364353734149,0.11599893949385565,C,63,A&C
-0.5226001565848968,0.022399164163091845,C,64,A&C
-0.41553143588026353,-0.0645850205335945,C,65,A&C
-0.3031614012085566,-0.14460335998495477,C,66,B&C
-0.18594252703909286,-0.21733364857999393,C,67,B&C
-0.0643468124064851,-0.2824830271162406,C,68,B&C
0.06113611966289301,-0.3397891620403968,C,69,B&C
0.19000099369001677,-0.38902130177296623,C,70,B&C
0.32172891630923506,-0.42998120586342425,C,71,B&C
0.4557894656687063,-0.46250394323453925,C,72,B&C
0.5916428272519971,-0.48645855630161616,C,73,B&C
0.7287419675206092,-0.5017485882924655,C,74,B&C
0.8665348366249698,-0.5083124716447815,C,75,B&C
1.0044665913143265,-0.5061237759169863,C,76,B&C
1.1419818290947004,-0.4951913142142885,C,77,B&C
1.2785268246386965,-0.47555910770142207,C,78,B&C
1.413551759441966,-0.4473062083449473,C,79,B&C
1.5465129357482619,-0.4105463805988898,C,80,B&C
1.6768749658284192,-0.36542764331542976,C,81,B&C
1.8041129277977734,-0.31213167372523043,C,82,B&C
1.927714479291316,-0.2508730758873523,C,83,B&C
2.0471819204855812,-0.1818985165544471,C,84,B&C
2.16203419816017,-0.10548573193280797,C,85,B&C
2.271808842729283,-0.021942409336688895,C,86,B&C
2.3760638304435133,0.06839505175990879,C,87,B&C
2.4743793632634876,0.16516289428519393,C,88,B&C
2.5663595592383928,0.2679714682909242,C,89,B&C
2.651634046582877,0.37640679993522563,C,90,B&C
2.729859455033501,0.49003225840913855,C,91,B&C
2.8007207984796043,0.608390314094787,C,92,B&C
2.8639327433012003,0.7310043808756637,C,93,B&C
2.9192407573067545,0.8573807351807141,C,94,B&C
2.9664221346444846,0.9870105040348954,C,95,B&C
3.005286892560225,1.1193717141110526,C,96,B&C
3.035678536390924,1.2539313935322753,C,97,B&C
